x,y,yaw
-30.6356,19.9673,-2.2598
-30.7083,19.8790,-2.2601
-30.7809,19.7903,-2.2566
-30.8522,19.7007,-2.2468
-30.9215,19.6103,-2.2314
-30.9917,19.5199,-2.2333
-31.0624,19.4301,-2.2349
-31.1325,19.3396,-2.2317
-31.2018,19.2489,-2.2246
-31.2708,19.1578,-2.2225
-31.3407,19.0671,-2.2259
-31.4100,18.9760,-2.2215
-31.4796,18.8843,-2.2213
-31.5500,18.7943,-2.2315
-31.6211,18.7045,-2.2366
-31.6922,18.6133,-2.2338
-31.7641,18.5222,-2.2382
-31.8368,18.4321,-2.2471
-31.9101,18.3432,-2.2561
-31.9829,18.2553,-2.2612
-32.0563,18.1719,-2.2842
-32.1319,18.0898,-2.3035
-32.2088,18.0070,-2.3127
-32.2864,17.9238,-2.3186
-32.3644,17.8429,-2.3329
-32.4435,17.7627,-2.3431
-32.5223,17.6853,-2.3594
-32.6025,17.6112,-2.3829
-32.6836,17.5393,-2.4043
-32.7662,17.4670,-2.4159
-32.8500,17.3967,-2.4344
-32.9354,17.3283,-2.4550
-33.0219,17.2613,-2.4732
-33.1091,17.1950,-2.4840
-33.1970,17.1313,-2.5058
-33.2863,17.0699,-2.5281
-33.3775,17.0096,-2.5457
-33.4699,16.9497,-2.5598
-33.5641,16.8909,-2.5745
-33.6581,16.8336,-2.5889
-33.7533,16.7781,-2.6050
-33.8480,16.7264,-2.6311
-33.9443,16.6773,-2.6550
-34.0420,16.6269,-2.6597
-34.1411,16.5775,-2.6733
-34.2411,16.5286,-2.6828
-34.3398,16.4841,-2.7085
-34.4397,16.4428,-2.7332
-34.5415,16.4002,-2.7390
-34.6438,16.3576,-2.7451
-34.7463,16.3179,-2.7633
-34.8504,16.2794,-2.7791
-34.9548,16.2427,-2.7964
-35.0592,16.2090,-2.8185
-35.1641,16.1773,-2.8377
-35.2695,16.1480,-2.8581
-35.3762,16.1186,-2.8675
-35.4843,16.0889,-2.8707
